ID_Venta,Fecha_Venta,Tipo_Foto,Cantidad,Precio_Unitario,CUIT_Cliente
449,20/03/2019,8R_20x25,165,24.11,20-31273204-5
450,18/12/2018,8R_20x25,83,12.37,20-22466487-4
451,10/08/2018,6R_15x20,95,14.11,20-4373950-4
452,13/05/2019,4R_10x15,138,11.8,20-33263109-4
453,15/04/2019,5R_13x18,56,24.39,20-4373950-4
454,28/10/2018,6R_15x20,120,25.0,20-33263109-4
455,24/06/2018,5R_13x18,188,19.81,20-22466487-4
456,21/08/2018,POLAROID_10x10,30,15.29,20-31273204-5
457,18/05/2019,POLAROID_10x10,165,18.44,20-31273204-5
458,04/09/2018,POLAROID_10x10,147,18.83,20-22466487-4
459,04/05/2019,5R_13x18,59,21.89,21-33782109-5
460,19/12/2018,8R_20x25,105,17.71,20-22466487-4
461,30/03/2019,POLAROID_10x10,91,19.41,21-33782109-5
462,14/08/2018,POLAROID_10x10,192,13.22,21-33782109-5
463,20/09/2018,8R_20x25,76,18.56,20-22466487-4
464,19/04/2019,8R_20x25,40,23.2,20-22466487-4
465,02/09/2018,6R_15x20,123,20.87,20-11395375-5
466,17/07/2018,4R_10x15,7,22.99,20-4373950-4
467,16/10/2018,8R_20x25,8,19.09,20-4373950-4
468,20/05/2019,POLAROID_10x10,84,17.86,20-31273204-5
469,26/08/2018,POLAROID_10x10,199,20.55,20-4373950-4
470,03/07/2018,6R_15x20,22,19.57,20-22466487-4
471,09/09/2018,6R_15x20,168,11.04,21-33782109-5
472,30/03/2019,POLAROID_11x9,20,15.83,20-31273204-5
473,26/05/2019,5R_13x18,91,14.91,20-33263109-4
474,01/09/2018,4R_10x15,21,22.83,20-22466487-4
475,02/07/2018,4R_10x15,164,14.78,20-31273204-5
476,29/08/2018,8R_20x25,64,13.67,20-4373950-4
477,09/09/2018,POLAROID_11x9,81,21.54,20-4373950-4
478,17/01/2019,POLAROID_11x9,25,15.48,20-22466487-4
479,16/08/2018,POLAROID_11x9,152,18.9,20-33263109-4
480,27/07/2018,6R_15x20,191,22.41,20-4373950-4
481,27/05/2019,4R_10x15,52,13.41,20-4373950-4
482,20/04/2019,POLAROID_11x9,7,21.53,20-31273204-5
483,27/03/2019,POLAROID_10x10,192,16.6,20-22466487-4
484,29/03/2019,8R_20x25,78,22.27,20-4373950-4
485,26/12/2018,POLAROID_11x9,46,18.85,20-4373950-4
486,23/12/2018,4R_10x15,19,23.67,20-4373950-4
487,18/05/2019,5R_13x18,22,14.4,20-11395375-5
488,11/12/2018,5R_13x18,32,15.47,20-31273204-5
489,08/05/2019,POLAROID_10x10,115,18.08,20-22466487-4
490,17/07/2018,POLAROID_11x9,184,19.41,20-22466487-4
491,16/12/2018,8R_20x25,8,23.18,20-31273204-5
492,25/01/2019,POLAROID_11x9,126,20.97,21-33782109-5
493,05/08/2018,POLAROID_10x10,54,20.64,20-33263109-4
494,09/09/2018,POLAROID_11x9,186,13.7,20-4373950-4
495,28/09/2018,6R_15x20,3,13.03,20-4373950-4
496,25/02/2019,5R_13x18,16,22.06,20-31273204-5
497,02/08/2018,5R_13x18,178,14.56,20-33263109-4
498,18/03/2019,6R_15x20,162,17.5,20-22466487-4
499,09/03/2019,8R_20x25,196,18.09,20-11395375-5
500,12/09/2018,POLAROID_10x10,75,14.27,21-33782109-5
